smile,Tm/K,Tb/K,density/(g/cm3),flash_point/K,NHOC/(MJ/kg),Isp/s
C1CC1,240.34999999999997,145.74999999999997,1.1358,162.6,46.02605012,347.0892958
C1CCC1,193.14999999999998,286.22999999999996,0.7125,204.239,45.29111822,344.307029
C1CCCC1,179.24999999999997,322.34999999999997,0.7457,236.141,43.8542456,338.8013947
C1C2CC12,137.227,280.95,1.04,198.942,45.7368123,352.7707331
C1CCCCC1,279.62,353.84999999999997,0.7781,262.257,43.56919109,337.6984876
C1C2CC1C2,167.115,322.25,0.976,232.623,45.4199175,350.1240685
C1CC12CC2,407.75,312.15,0.7551,217.602,44.95813543,348.3396743
C1CC2CC12,298.15,318.65,0.976,232.623,48.38893471,361.386418
C1CCCCCC1,261.15,391.63,0.8098,284.51,43.8814319,338.906394
C12C3C1C23,151.438,282.45,1.576,192.847,48.41899966,370.9547932
C1CC2CC1C2,294.95,344.04999999999995,0.939,259.812,43.71213558,342.5690286
C1CC2CC2C1,191.954,351.15,0.8178,259.812,43.50629711,341.7615057
C1CC2CCC12,191.954,347.493,0.827,259.812,44.372141334783436,345.14554938983423
C1CCCCCCC1,287.95,422.15,0.891,303.985,44.03015628,339.4802245
C1C23CC12C3,116.733,343.04999999999995,1.2,194.122,45.36584309,355.8441067
C1C2C3C1C23,178.819,318.75,1.302,228.58,45.63387717,356.8937718
C1CC2CCC1C2,360.65,378.45,0.914,282.769,42.79010333,338.3036476
C1CC2CCC2C1,213.206,382.15,0.8522,282.769,43.41600922,340.7689085
C1CCC2CC2C1,298.15,389.65,0.8576,282.769,44.53364568,345.1271599
C1CCCCCCCC1,282.84999999999997,342.15,0.8534,321.359,44.15173473,339.948597
C1C2C1C1CC21,201.903,351.65,1.169,256.987,44.04492141,348.6056804
C1C2CC3C1C23,201.903,339.187,0.909,256.987,44.22131820437289,349.30305344819726
C1CC2(C1)CC2,166.74,343.15,0.855,247.752,44.37382815,345.1521097
C1CC2C3C1C23,201.903,339.15,1.169,256.987,43.50390791,346.4580649
C1CC2CCC1CC2,442.15,413.65,0.896,302.733,42.74619491,337.6605904
C1CC2CCCC2C1,243.14999999999998,405.15,0.896,302.733,43.01830131,338.7335965
C1CCC2CC2CC1,231.777,416.15,0.896,302.733,43.59868861,341.0109762
C1CCC2CCC2C1,231.777,409.15,0.8573,302.733,43.32379589,339.9342275
C1CCCCCCCCC1,283.15,475.15,0.8577,337.08,44.12068686,339.8290486
C12C3C4C1C234,164.016,340.54999999999995,1.68,206.866,46.22789668,365.9162456
C1C2CC1C1CC21,221.858,378.15,1.091,280.735,43.79787611,346.2334076
C1C2CC2C2CC12,221.858,378.15,0.89,280.735,43.25342409,344.0746615
C1C2CC3C1C3C2,329.15,379.15,1.091,280.735,42.21293374,339.9109948
C1C2CC3CC1C23,221.858,375.897,0.963,280.735,43.78865047363757,346.1969401147025
C1CC12CC21CC1,178.125,399.15,1.06,258.656,44.48346086,348.9327465
C1CC2(C1)CCC2,191.637,369.15,0.9,272.684,44.1492608,343.6344776
C1CC23CC1C2C3,201.607,402.75,1.29,270.196,45.05278032,351.158547
C1CC2C1C1CC21,221.858,375.897,0.963,280.735,44.24262992350766,347.98691350766023
C1CC2C1C21CC1,201.607,390.75,1.05,270.196,44.24362772,347.9908375
C1CC2C3CC1C23,221.858,381.84999999999997,1.091,280.735,43.12975594,343.5824284
C1CC2C3CC23C1,201.607,390.75,1.05,270.196,43.71297235,345.8976518
C1CC2C3CC2C13,221.858,381.84999999999997,1.091,280.735,43.5551387,345.2726238
C1CC2CC(C1)C2,321.15,383.15,0.914,282.769,43.47255005,340.9907286
C1CC2CC23CC13,201.607,390.75,1.05,270.196,43.84241001,346.4093887
C1CCC2(C1)CC2,191.637,375.15,0.8378,272.684,43.48425114,341.0366162
C1CCC2CCC2CC1,248.269,439.65,0.882,320.459,43.52173801,340.3445488
C1CCC2CCCC2C1,220.14999999999998,440.15,0.879,320.459,42.85304705,337.7198112
C1CCCC2CC2CC1,248.269,316.15,0.882,320.459,43.88436021,341.7594794
C1CCCCCCCCCC1,265.84999999999997,378.25,0.8591,351.466,44.12851916,339.8592105
C12C3C1C1C2C31,211.224,352.95,1.577,253.772,45.37798961,359.1167867
C1C23CC1(C2)C3,150.601,295.603,0.974,230.091,59.89644976401579,406.5248333706736
C1C2CC1C1CC1C2,239.431,409.75,1.04,301.245,43.1859345,342.7920665
C1C2CC1C1CC2C1,369.15,409.75,1.04,301.245,44.15859261,346.6308508
C1C2CC3CC1C3C2,384.15,409.75,1.04,301.245,42.39252047,339.6285732
C1C2CC3CC2CC13,239.431,409.75,1.04,301.245,42.80981059,341.2960441
C1C2CC3CC3CC12,239.431,409.75,1.04,301.245,45.4218401,351.553935
C1CC12CCC21CC1,201.31,425.95,1.02,282.504,43.89528401,345.5958614
C1CC23CC1CC2C3,221.599,417.75,1.02,292.236,43.52828607,344.1481069
C1CC23CCC12CC3,201.31,376.176,1.069,282.504,45.47474632408898,351.7586160102488
C1CC23CCC2CC13,221.599,392.336,1.034,292.236,43.83270264024405,345.3494160305998
C1CC2C1C1CCC21,239.431,407.4,1.001,301.245,44.05753281196291,346.2339799827563
C1CC2C1CC1CC12,239.431,409.75,1.04,301.245,43.08397714,342.3871798
C1CC2C3CC1C2C3,239.431,409.75,1.04,301.245,42.68269745,340.7889704
C1CC2C3CC1CC23,239.431,409.75,1.04,301.245,42.26300576,339.1093714
C1CC2C3CC2C3C1,239.431,407.4,1.001,301.245,43.53049843942179,344.1568526192066
C1CC2C3CCC1C23,239.431,341.15,1.04,301.245,42.4497699,339.8578233
C1CC2C3CCC23C1,221.599,417.75,1.02,292.236,43.21021212,342.8884059
C1CC2C3CCC2C13,239.431,396.15,1.04,301.245,42.62457472,340.5568584
C1CC2CC1C1CC21,239.431,409.15,1.04,301.245,42.89003257,341.6156745
C1CC2CC23CC3C1,221.599,417.75,1.02,292.236,44.34484246,347.3610825
C1CC2CC23CCC13,221.599,417.75,1.02,292.236,43.1896654,342.8068734
C1CC2CC2C2CC12,239.431,409.75,1.04,301.245,43.01333717,342.1063777
C1CC2CC3C1CC23,239.431,407.4,1.001,301.245,43.04848083803632,342.246106647129
C1CC2CC3CC23C1,221.599,417.75,1.02,292.236,43.2307831,342.9700152
C1CC2CCC(C1)C2,406.65,430.15,0.8714,302.733,42.9210422,338.3504623
C1CCC2(C1)CCC2,212.931,420.75,0.89,294.06,43.44850853,340.4231462
C1CCC2(CC1)CC2,212.931,398.65,0.8282,294.06,43.52269122,340.7136365
C1CCC2CC(C1)C2,231.777,413.65,0.896,302.733,43.42643711,340.3366694
C1CCC2CCCC2CC1,263.1,353.15,0.8768,336.443,42.98481889,337.9500695
C1CCC2CCCCC2C1,230.14999999999998,462.15,0.8965,336.443,42.83294137,337.3525046
C1CCCC2CC2CCC1,311.15,315.15,0.7975,336.443,43.79244052,341.1100884
C1CCCC2CCC2CC1,263.1,464.04999999999995,0.872,336.443,43.59443598,340.3380617
C1CCCCCCCCCCC1,333.54999999999995,333.54999999999995,0.82,364.747,44.12760899,339.8557056
C1C2C1C1C3C2C13,230.031,377.15,1.37,278.405,43.39406282,348.9075878
C1C2C3C2C2C1C32,230.031,385.15,1.37,278.405,43.01548626,347.3822917
C1C2C3C4CC13C24,210.945,350.549,1.123,267.38,46.183652515259,359.947694322135
C1C2C3C4CC14C23,210.945,391.84999999999997,1.28,267.38,46.62662582,361.6698048
C1C2CC3CC1CC2C3,474.15,435.75,1.004,319.365,41.92606804,336.9911177
C1C2CC3CC1CC3C2,435.75,474.15,1.004,319.365,41.92675521,336.9938793
C1CC23CC2(C1)C3,178.125,399.84999999999997,1.06,258.656,43.77980386,346.1619673
C1CC23CCC1C2CC3,239.202,421.737,1.06,311.493,43.28571102128255,342.4117541407773
C1CC2C1CC1CCC12,255.132,435.75,1.004,319.365,43.1621325,341.9226207
C1CC2C1CCC21CC1,239.202,443.15,0.99,311.493,43.20763159,342.1027909
C1CC2C3C(C1)C23,221.858,382.15,0.897,280.735,43.40518723,344.6777597
C1CC2C3CC1CC2C3,405.15,435.75,1.004,319.365,42.44962544,339.0887005
C1CC2C3CCC1CC23,255.132,435.75,1.004,319.365,42.46414186,339.1466743
C1CC2C3CCC2C1C3,255.132,362.15,1.004,319.365,42.12199674,337.7776126
C1CC2C3CCCC23C1,239.202,443.15,0.99,311.493,42.50562531,339.3122909
C1CC2CC1C1CC2C1,382.15,435.75,1.004,319.365,43.15019297,341.8753259
C1CC2CC1C1CCC21,255.132,435.75,1.004,319.365,42.62463848,339.7869858
C1CC2CC1CC1CC21,255.132,435.75,1.004,319.365,43.85642962,344.6616977
C1CC2CC1CC21CC1,239.202,340.15,0.89,311.493,42.70964971,340.1256552
C1CC2CC2C2CC2C1,255.132,435.75,1.004,319.365,44.62930007,347.6853763
C1CC2CC2C2CCC12,255.132,435.75,1.004,319.365,44.01911659,345.3003733
C1CC2CC2CC2CC12,255.132,435.75,1.004,319.365,43.27341073,342.3630999
C1CC2CC3CC1C2C3,371.15,366.15,1.004,319.365,42.00474875,337.3071773
C1CC2CC3CC1CC23,255.132,435.75,1.004,319.365,42.42518804,338.9910831
C1CC2CC3CC2CC13,438.15,435.75,1.004,319.365,42.44275377,339.0612538
C1CC2CC3CC3C2C1,255.132,435.75,1.004,319.365,42.82679464,340.5917877
C1CC2CC3CC3CC12,255.132,435.75,1.004,319.365,43.99968262,345.2241417
C1CC2CC3CCC1C23,255.132,435.75,1.004,319.365,42.51432658,339.3470193
C1CC2CC3CCC23C1,239.202,421.737,1.06,311.493,43.832481811058166,344.56758360589356
C1CC2CCC(C1)CC2,397.15,441.15,0.882,320.459,42.96554127,338.1627974
C1CC2CCC1C1CC21,255.132,435.75,1.004,319.365,42.65206077,339.8962681
C1CC2CCC1C21CC1,239.202,443.15,0.99,311.493,42.75251179,340.2962822
C1CC2CCC23CCC13,239.202,443.15,0.99,311.493,43.10837879,341.7096407
C1CC2CCC3C1CC23,255.132,435.75,1.004,319.365,42.56141905,339.534912
C1CC2CCC3CC23C1,239.202,443.15,0.99,311.493,42.5852294,339.6298726
C1CC2CCCC(C1)C2,418.65,442.65,0.882,320.459,43.06969084,338.572407
C1CCC2(C1)CCCC2,231.535,333.15,0.8631,312.847,42.94126363,338.0672447
C1CCC2(CC1)CCC2,231.535,429.15,0.846,312.847,43.51210047,340.3068634
C1CCC2C3CC23CC1,239.202,443.15,0.99,311.493,43.84985427,344.6358594
C1CCC2CC(CC1)C2,248.269,439.65,0.882,320.459,43.78675959,341.3792243
C1CCC2CCC(C1)C2,338.15,430.15,0.882,320.459,42.95151382,338.107591
C1CCC2CCCCC2CC1,276.575,361.65,0.9014,351.031,43.05729606,337.9997907
C1CCCC2(CC1)CC2,231.535,430.15,0.8548,312.847,43.55673902,340.4813771
C1CCCC2CCC2CCC1,276.575,487.15,0.864,351.031,43.74142689,340.674422
C1CCCC2CCCC2CC1,276.575,487.15,0.864,351.031,43.26389506,338.8097214
C1CCCCC2CC2CCC1,276.575,487.15,0.864,351.031,43.74656257,340.6944207
C1CCCCCCCCCCCC1,296.65,401.15,0.79,377.095,44.00486648,339.3827161
C1C2C1C1C3CC2C31,246.708,343.15,0.94,299.522,42.90624494,345.3070088
C1C2C3CC4C1C2C34,246.708,401.083,1.122,299.522,43.66421714397781,348.34371460151874
C1C2C3CC4C1C4C23,246.708,408.25,1.249,299.522,41.84855931,341.0243543
C1C2C3CC4C2C4C13,246.708,408.25,1.249,299.522,42.24694953,342.6437525
C1C2CC3(CC3)CC12,221.599,417.75,1.02,292.236,43.11873432,342.5252591
C1C2CC3C1C1C2C31,246.708,408.25,1.249,299.522,42.38903224,343.2194495
C1C2CC3C4C1C2C34,246.708,401.083,1.122,299.522,42.882416181204135,345.21110926479605
C1C2CC3C4C1C34C2,229.786,417.45,1.2,290.156,42.97399376,345.5795206
C1CC12CC1(CC1)C2,201.31,425.95,1.02,282.504,43.89911682,345.6109492
C1CC2(C1)CC21CC1,201.31,425.95,1.02,282.504,44.08609928,346.3462091
C1CC2(CC2)C2CC12,221.599,417.75,1.02,292.236,43.23679914,342.9938784
C1CC2C(C1)C1CC21,239.431,409.75,1.04,301.245,43.06304229,342.3039853
C1CC2C3C1C1C2C31,246.708,408.25,1.249,299.522,42.93140851,345.4082515
C1CC2C3CCC1CCC23,269.32,460.25,0.976,335.644,42.86854033,340.148174
C1CC2C3CCC2CC1C3,269.32,460.25,0.976,335.644,42.10813058,337.1178716
C1CC2C3CCCC2C3C1,269.32,460.25,0.976,335.644,42.65350666,339.2939897
C1CC2CC1C1CCC2C1,269.32,460.25,0.976,335.644,42.39116289,338.2489531
C1CC2CC1CC1CCC21,269.32,460.25,0.976,335.644,42.64639859,339.2657174
C1CC2CC2CC2CC2C1,269.32,460.25,0.976,335.644,43.36169422,342.0990886
C1CC2CC2CCC2CC12,269.32,460.25,0.976,335.644,43.33222172,341.9828082
C1CC2CC3CC1CC2C3,487.15,460.25,0.976,335.644,42.06515467,336.945795
C1CC2CC3CC1CC3C2,269.32,460.25,0.976,335.644,42.13057206,337.2076929
C1CC2CC3CC2CC3C1,419.15,460.25,0.976,335.644,42.55270301,338.8928233
C1CC2CC3CC2CCC13,473.15,460.25,0.976,335.644,42.42953493,338.4020082
C1CC2CC3CC3CC2C1,269.32,459.537,1.044,335.644,42.64381734,339.2554499
C1CC2CC3CCC1CC23,269.32,460.25,0.976,335.644,42.68579157,339.4223731
C1CC2CC3CCC2C3C1,269.32,460.25,0.976,335.644,42.19976501,337.4844851
C1CC2CC3CCC2CC13,437.04999999999995,460.25,0.976,335.644,42.24975268,337.6843093
C1CC2CC3CCC3C2C1,269.32,465.95,0.974,335.644,42.64716911,339.2687823
C1CC2CC3CCC3CC12,269.32,460.25,0.976,335.644,43.11187145,341.1121853
C1CC2CC3CCCC23C1,254.925,467.15,0.97,328.649,42.54443529,338.8598994
C1CC2CCC1C1CCC21,269.32,460.25,0.976,335.644,42.65620349,339.3047157
C1CC2CCC1CC21CC1,254.925,467.15,0.97,328.649,42.66016782,339.3204823
C1CC2CCC2C2CCC12,269.32,460.25,0.976,335.644,43.17470759,341.3606826
C1CC2CCC3C1CCC23,269.32,460.25,0.976,335.644,42.09651495,337.071371
C1CC2CCC3CC1CC23,405.15,329.15,0.976,335.644,42.15925477,337.3224598
C1CC2CCC3CC2C3C1,269.32,460.25,0.976,335.644,42.74766456,339.6682801
C1CC2CCC3CC3C2C1,269.32,460.25,0.976,335.644,42.77707927,339.7851231
C1CC2CCC3CCC1C23,269.32,460.25,0.976,335.644,42.53902623,338.8383575
C1CC2CCC3CCC23C1,254.925,467.15,0.97,328.649,42.56918833,338.9584622
C1CC2CCCC(C1)CC2,464.04999999999995,435.15,0.872,336.443,43.17688196,338.7042356
C1CC2CCCC23CC3C1,254.925,447.704,1.077,328.649,42.53807847,338.8345829
C1CCC2(CC1)CCCC2,248.052,462.15,0.9134,329.656,42.88293698,337.5493301
C1CCC23CC2(C1)C3,201.31,425.95,1.02,282.504,43.4808321,343.9604629
C1CCC23CC2CCC3C1,254.925,447.704,1.077,328.649,42.63167774,339.2071578
C1CCC23CCC2CC3C1,254.925,447.704,1.077,328.649,44.676452771264856,347.2467083625022
C1CCC23CCCC2C3C1,254.925,467.15,0.97,328.649,42.51378774,338.7378259
C1CCC2C3C(C1)C23,239.431,409.75,1.04,301.245,43.55237937,344.2433382
C1CCC2C3CCC2C3C1,269.32,460.25,0.976,335.644,42.9138856,340.3280265
C1CCC2CC23CC3CC1,254.925,467.15,0.97,328.649,43.54164597,342.808212
C1CCC2CC2C2CC2C1,269.32,460.25,0.976,335.644,43.28843676,341.8099866
C1CCC2CCC(C1)CC2,263.1,464.04999999999995,0.872,336.443,43.38295399,339.5115471
C1CCC2CCC(CC1)C2,325.15,464.04999999999995,0.872,336.443,43.86544651,341.3943008
C1CCC2CCCC(C1)C2,531.15,464.04999999999995,0.872,336.443,43.82057231,341.2196335
C1CCC2CCCCCC2CC1,288.92,331.15,0.857,364.468,43.29313436,338.7286151
C1CCCC2(CC1)CCC2,248.052,456.65,0.8775,329.656,43.55990334,340.2032383
C1CCCC2(CCC1)CC2,248.052,470.25,0.88,329.656,43.76963895,341.0212733
C1CCCC23CC2C3CC1,254.925,467.15,0.97,328.649,43.75540827,343.6486689
C1CCCC2CC(CC1)C2,263.1,464.04999999999995,0.872,336.443,43.83579613,341.2789004
C1CCCC2CCCC2CCC1,288.92,509.04999999999995,0.857,364.468,43.44279439,339.3135854
C1CCCC2CCCCC2CC1,288.92,376.15,0.857,364.468,43.21303373,338.4151134
C1CCCCC2CC2CCCC1,288.92,509.04999999999995,0.857,364.468,43.90720758,341.1224331
C1CCCCC2CCC2CCC1,288.92,509.04999999999995,0.857,364.468,43.79912855,340.7023324
C1CCCCCCCCCCCCC1,326.65,404.15,0.79,388.648,43.89933787,338.9755329
C1C2C1C1CC2C2CC21,261.689,433.84999999999997,1.169,318.078,42.71029551,343.2834198
C1C2C3CC3C3CC3C12,261.689,433.84999999999997,1.169,318.078,43.9633263,348.2826273
C1C2C3CC4C1C4CC23,383.15,433.84999999999997,1.169,318.078,41.89440301,339.988747
C1C2CC3C1C1CC2C31,261.689,429.42,1.144,318.078,42.37010012722693,341.91352859674555
C1C2CC3C1C1CC3C21,261.689,429.42,1.144,318.078,42.13809216035933,340.9761275296743
C1C2CC3C4C1CC2C34,261.689,433.84999999999997,1.169,318.078,41.87896638,339.9261042
C1C2CC3C4CC2C1C34,261.689,433.84999999999997,1.169,318.078,41.9971756,340.4055105
C1C2CC3CC1C1C2C31,457.15,433.84999999999997,1.169,318.078,41.57202416,338.6781083
C1C2CC3CC4CC1C234,246.489,415.819,1.18,309.932,45.25582856747532,353.3652186466169
C1CC12CC21CC12CC2,210.387,459.25,1.16,291.807,44.21390185,349.2737614
C1CC2(C1)CC21CCC1,221.34,450.65,1,303.075,43.79990146,344.4395026
C1CC2(C1)CCC21CC1,221.34,450.65,1,303.075,43.77031029,344.3231314
C1CC2(CC2)C2CC1C2,239.202,443.15,0.99,311.493,43.2233076,342.1648439
C1CC2(CC2)CC2CC12,239.202,443.15,0.99,311.493,44.06571084,345.4830753
C1CC23CCC2(C1)CC3,221.34,407.643,1.095,303.075,43.26323119022262,342.32282920639426
C1CC23CCCC2(C1)C3,221.34,450.65,1,303.075,42.70028274,340.0883554
C1CC2C(C1)C1CCC21,255.132,434.992,1.027,319.365,43.293789550973536,342.44370526742006
C1CC2C1C13CCC21C3,229.54,401.332,1.218,301.204,44.20846956939751,349.25230424323814
C1CC2C1C1C3CC3C21,261.689,429.42,1.144,318.078,43.38407057531024,345.9805532441198
C1CC2C1C21C2CCC21,246.489,442.04999999999995,1.14,309.932,43.85033103,347.8347584
C1CC2C1CC1C3C2C13,261.689,433.84999999999997,1.169,318.078,43.0774122,344.7556107
C1CC2C3C1C1CC1C23,261.689,433.84999999999997,1.169,318.078,42.63496825,342.9805653
C1CC2C3C1C3C21CC1,246.489,442.04999999999995,1.14,309.932,42.9889365,344.4013859
C1CC2C3C1CC1C2C13,261.689,429.42,1.144,318.078,42.29964184,341.6291221
C1CC2C3CC1C1C2C31,261.689,433.84999999999997,1.169,318.078,42.23994772,341.38798
C1CC2C3CC4C1C4C23,261.689,433.84999999999997,1.169,318.078,42.23221849,341.3567443
C1CC2CC(C1)C1CC21,222.14999999999998,318.15,1.1,319.365,42.91853154,340.9563739
C1CC2CC2C2(C1)CC2,239.202,443.15,0.99,311.493,44.07732827,345.5286137
C1CC2CC2CCC2CC2C1,282.262,483.45,0.955,350.455,43.37355608,341.6496202
C1CC2CC3(CC3)C2C1,239.202,443.15,0.99,311.493,43.18179837,342.0005065
C1CC2CC3C(C1)C3C2,255.132,435.75,1.004,319.365,42.52922953,339.4064913
C1CC2CC3CCC1CC3C2,282.262,483.45,0.955,350.455,42.46012344,338.0329639
C1CC2CC3CCC1CCC23,282.262,483.45,0.955,350.455,42.92104007,339.8627333
C1CC2CC3CCC2CC1C3,282.262,483.45,0.955,350.455,42.27539701,337.2968416
C1CC2CC3CCC2CC3C1,282.262,483.45,0.955,350.455,42.4265384,337.8992491
C1CC2CC3CCC3CC2C1,282.262,483.45,0.955,350.455,42.67759659,338.8975304
C1CC2CC3CCCC2C3C1,282.262,483.45,0.955,350.455,42.44241401,337.9624625
C1CC2CC3CCCC3C2C1,282.262,483.45,0.955,350.455,42.3014372,337.4007072
C1CC2CCC1C1CCC2C1,483.15,483.45,0.955,350.455,42.64216027,338.7568035
C1CC2CCC2C2CCC2C1,282.262,483.45,0.955,350.455,43.14612792,340.7527273
C1CC2CCC3C(C1)C23,255.132,435.75,1.004,319.365,42.66080068,339.9310907
C1CC2CCC3CC1CC2C3,282.262,483.45,0.955,350.455,42.31951339,337.4727883
C1CC2CCC3CC1CCC23,282.262,483.45,0.955,350.455,42.46655053,338.0585466
C1CC2CCC3CC3CC2C1,282.262,481.642,1.054,350.455,42.81764776,339.4531395
C1CC2CCC3CC3CCC12,282.262,483.45,0.955,350.455,43.45466315,341.9689076
C1CC2CCC3CCC1CC23,282.262,483.45,0.955,350.455,42.26498792,337.2553143
C1CC2CCC3CCC2C3C1,282.262,483.45,0.955,350.455,42.22644284,337.1014931
C1CC2CCC3CCC3C2C1,282.262,481.642,1.054,350.455,42.78165256,339.3104268
C1CC2CCC3CCCC23C1,269.132,489.84999999999997,0.96,344.159,42.22953063,337.1138181
C1CC2CCCC(C1)CCC2,276.575,487.15,0.864,351.031,43.5767233,340.0324308
C1CC2CCCC23CCC3C1,269.132,489.84999999999997,0.96,344.159,42.62813244,338.7010791
C1CC2CCCC2C2CC2C1,282.262,483.45,0.955,350.455,42.73229671,339.1146444
C1CCC2(C1)CC21CC1,221.34,351.15,1,303.075,43.41401382,342.9188485
C1CCC2(CC1)CCCCC2,262.904,475.588,1.006,344.904,43.03506098127572,337.91250673404227
C1CCC23CC2CCCC3C1,269.132,489.84999999999997,0.96,344.159,42.74801163,339.1769938
C1CCC23CCC2(C1)C3,221.34,450.65,1,303.075,43.1495616,341.8728248
C1CCC23CCC2CCC3C1,269.132,470.955,1.086,344.159,42.58113434,338.5143164
C1CCC23CCCC2CC3C1,269.132,489.84999999999997,0.96,344.159,42.66783019,338.8587514
C1CCC23CCCCC2C3C1,269.132,489.84999999999997,0.96,344.159,42.72969093,339.1043047
C1CCC2C3CC(C1)C23,255.132,435.75,1.004,319.365,43.25472836,342.289188
C1CCC2C3CCCC2C3C1,282.262,483.45,0.955,350.455,42.7753128,339.2852848
C1CCC2CC2C2CCC2C1,282.262,483.45,0.955,350.455,43.26242681,341.2116618
C1CCC2CC3CC3C2CC1,282.262,481.642,1.054,350.455,42.78778275,339.3347358
C1CCC2CC3CC3CC2C1,282.262,483.45,0.955,350.455,42.85369535,339.5959999
C1CCC2CCC(CC1)CC2,276.575,487.15,0.864,351.031,43.52979562,339.8492914
C1CCC2CCCC(C1)CC2,276.575,487.15,0.864,351.031,43.95624642,341.5099444
C1CCC2CCCC(CC1)C2,276.575,487.15,0.864,351.031,43.30043075,338.952751
C1CCC2CCCCC(C1)C2,276.575,487.15,0.864,351.031,44.36923761,343.1105231
C1CCCC2(CC1)CCCC2,262.904,493.04999999999995,0.87,344.904,43.17522361,338.4623399
C1CCCC2CCC(CC1)C2,276.575,487.15,0.864,351.031,43.43476835,339.4781365
C1CCCC2CCCCC2CCC1,300.312,530.05,0.852,376.941,43.32523243,338.6892113
C1CCCCC2(CCC1)CC2,262.904,493.04999999999995,0.87,344.904,43.94757435,341.4762547
C1CCCCC2CCC2CCCC1,300.312,530.05,0.852,376.941,43.78235153,340.4712567
C1CCCCC2CCCC2CCC1,300.312,523.909,0.989,376.941,43.41703171,339.0478357
C1CCCCCC2CC2CCCC1,300.312,530.05,0.852,376.941,43.69650435,340.1372999
C1CCCCCCCCCCCCCC1,318.15,334.45,0.8364,399.51,43.92671082,339.0811987
